amo, amare, amavi, amatum
cogito, cogitare, cogitavi, cogitatum
conservo, conservare, conservavi, conservatum
debeo, debere, debui, debitum
do, dare, dedi, datum
erro, errare, erravi, erratum
laudo, laudare, laudavi, laudatum
moneo, monere, monui, monitum
servo, servare, servavi, servatum
terreo, terrere, terrui, territum
video, videre, vidi, visum
voco, vocare, vocavi, vocatum
habeo, habere, habui, habitum
satio, satiare, satiavi, satiatum
adiuvo, adiuvare, adiuvi, adiutum
iuvo, iuvare, iuvi, iutum
ceno, cenare, cenavi, cenatum
culpo, culpare, culpavi, culpatum
maneo, manere, mansi, mansum
remaneo, remanere, remansi, remansum
supero, superare, superavi, superatum
tolero, tolerare, toleravi, toleratum
neco, necare, necavi, necatum
ago, agere, egi, actum
demonstro, demonstrare, demonstravi, demonstratum
doceo, docere, docui, doctum
duco, ducere, duxi, ductum
gero, gerere, gessi, gestum
scribo, scribere, scripsi, scriptum
traho, trahere, traxi, tractum
vinco, vincere, vici, victum
audio, audire, audivi, auditum
capio, capere, cepi, captum
dico, dicere, dixi, dictum
facio, facere, feci, factum
fugio, fugere, fugi, fugitum
invenio, invenire, inveni, inventum
venio, venire, veni, ventum
vivo, vivere, vixi, victum
intellego, intellegere, intellexi, intellectum
mitto, mittere, misi, missum
sentio, sentire, sensi, sensum
amitto, amittere, amisi, amissum
cado, cadere, cecidi, casum
creo, creare, creavi, creatum
alo, alere, alui, altum
diligo, diligere, dilexi, dilectum
iungo, iungere, iunxi, iunctum
sto, stare, steti, statum
appello, appellare, appellavi, appelatum
curro, currere, cucurri, cursum
muto, mutare, mutavi, mutatum
teneo, tenere, tenui, tentum
vito, vitare, vitavi, vitatum
committo, committere, commisi, commissum
exspecto, exspectare, exspectavi, exspectatum
iacio, iacere, ieci, iactum
adiuvo, adiuvare, adiuvi, adiutum
rego, regere, rexi, rectum
admitto, admittere, admisi, admissum
cupio, cupere, cupivi, cupitum
deleo, delere, delevi, deletum
desidero, desiderare, desideravi, desideratum
incipio, incipere, incepi, inceptum
navigo, navigare, navigavi, navigatum
neglego, neglegere, neglexi, neglectum
recito, recitare, recitavi, recitatum
fluo, fluere, fluxi, fluxum
lego, legere, legi, lectum
misceo, miscere, miscui, mixtum
moveo, movere, movi, motum
delecto, delectare, delectavi, delectatum
libero, liberare, liberavi, liberatum
paro, parare, paravi, paratum
careo, carere, carui, cariturus
defendo, defendere, defendi, defensum
discedo, discedere, discessi, discessum
prohibeo, prohibere, prohibui, prohibitum
pronuntio, pronuntiare, pronuntiavi, pronuntiatum
contineo, continere, continui, contentum
iubeo, iubere, iussi, iussum
laboro, laborare, laboravi, laboratum
rapio, rapere, rapui, raptum
relinquo, relinquere, reliqui, relictum
scio, scire, scivi, scitum
tango, tangere, tetigi, tactum
cerno, cernere, crevi, cretum
eripio, eripere, eripui, ereptum
tollo, tollere, sustuli, sublatum
averto, avertere, averti, aversum
educo, educare, educavi, educatum
opprimo, opprimere, oppressi, oppressum
ostendo, ostendere, ostendi, ostentum
peto, petere, petivi, petitum
premo, premere, pressi, pressum
reverto, revertere, reverti, reversum
verto, vertere, verti, versum
accipio, accipere, accepi, acceptum
excipio, excipere, excepi, exceptum
expello, expellere, expuli, expulsum
narro, narrare, narravi, narratum
pello, pellere, pepuli, pulsum
quaero, quaerere, quaesivi, quaesitum
recipio, recipere, recepi, receptum
rideo, ridere, risi, risum
credo, credere, credidi, creditum
nego, negare, negavi, negatum
nescio, nescire, nescivi, nescitum
nuntio, nuntiare, nuntiavi, nuntiatum
patefacio, patefacere, patefeci, patefactum
puto, putare, putavi, putatum
spero, sperare, speravi, speratum
suscipio, suscipere, suscepi, susceptum
invito, invitare, invitavi, invitatum
pono, ponere, posui, positum
probo, probare, probavi, probatum
cedo, cedere, cessi, cessum
dedico, dedicare, dedicavi, dedicatum
expleo, explere, explevi, expletum
praesto, praestare, praestiti, praestitum
taceo, tacere, tacui, tacitum
condo, condere, condidi, conditum
contendo, contendere, contendi, contentum
mollio, mollire, mollivi, mollitum
pugno, pugnare, pugnavi, pugnatum
respondeo, respondere, respondi, responsum
surgo, surgere, surrexi, surrectum
cognosco, cognoscere, cognovi, cognitum
comprehendo, comprehendere, comprehendi, comprehensum
consumo, consumere, consumpsi, consumptum
dubito, dubitare, dubitavi, dubitatum
expono, exponere, exposui, expositum
minuo, minuere, minui, minutum
rogo, rogare, rogavi, rogatum
